Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Country
10001,01-01-2024,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card,Trinidad and Tobago
10002,02-01-2024,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal,Albania
10003,03-01-2024,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card,Mongolia
10004,04-01-2024,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card,Cuba
10005,05-01-2024,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal,Austria
10006,06-01-2024,Sports,Wilson Evolution Basketball,5,29.99,149.95,Asia,Credit Card,Kuwait
10007,07-01-2024,Electronics,MacBook Pro 16-inch,1,2499.99,2499.99,North America,Credit Card,Mexico
10008,08-01-2024,Home Appliances,Blueair Classic 480i,2,599.99,1199.98,Europe,PayPal,Hungary
10009,09-01-2024,Clothing,Nike Air Force 1,6,89.99,539.94,Asia,Debit Card,Lebanon
10010,10-01-2024,Books,Dune by Frank Herbert,2,25.99,51.98,North America,Credit Card,Saint Kitts and Nevis
10011,11-01-2024,Beauty Products,Chanel No. 5 Perfume,1,129.99,129.99,Europe,PayPal,France
10012,12-01-2024,Sports,Babolat Pure Drive Tennis Racket,3,199.99,599.97,Asia,Credit Card,Nepal
10013,13-01-2024,Electronics,Samsung Galaxy Tab S8,2,749.99,1499.98,North America,Credit Card,Belize
10014,14-01-2024,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,189.99,Europe,PayPal,Cyprus
10015,15-01-2024,Clothing,North Face Down Jacket,2,249.99,499.98,Asia,Debit Card,Jordan
10016,16-01-2024,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,35.99,107.97,North America,Credit Card,Haiti
10017,17-01-2024,Beauty Products,Dyson Supersonic Hair Dryer,1,399.99,399.99,Europe,PayPal,Cyprus
10018,18-01-2024,Sports,Manduka PRO Yoga Mat,4,119.99,479.96,Asia,Credit Card,Azerbaijan
10019,19-01-2024,Electronics,Garmin Forerunner 945,2,499.99,999.98,North America,Credit Card,Nicaragua
10020,20-01-2024,Home Appliances,Ninja Professional Blender,1,99.99,99.99,Europe,PayPal,Malta
10021,21-01-2024,Clothing,Zara Summer Dress,3,59.99,179.97,Asia,Debit Card,Kazakhstan
10022,22-01-2024,Books,Gone Girl by Gillian Flynn,2,22.99,45.98,North America,Credit Card,Trinidad and Tobago
10023,23-01-2024,Beauty Products,Olay Regenerist Face Cream,1,49.99,49.99,Europe,PayPal,Germany
10024,24-01-2024,Sports,Adidas FIFA World Cup Football,3,29.99,89.97,Asia,Credit Card,Myanmar
10025,25-01-2024,Electronics,Bose QuietComfort 35 Headphones,1,299.99,299.99,North America,Credit Card,Dominican Republic
10026,26-01-2024,Home Appliances,Panasonic NN-SN966S Microwave,1,179.99,179.99,Europe,PayPal,Luxembourg
10027,27-01-2024,Clothing,Adidas Ultraboost Shoes,2,179.99,359.98,Asia,Debit Card,Bahrain
10028,28-01-2024,Books,Pride and Prejudice by Jane Austen,3,12.99,38.97,North America,Credit Card,Dominican Republic
10029,29-01-2024,Beauty Products,MAC Ruby Woo Lipstick,1,29.99,29.99,Europe,PayPal,Czech Republic
10030,30-01-2024,Sports,Nike Air Zoom Pegasus 37,2,129.99,259.98,Asia,Credit Card,China
10031,31-01-2024,Electronics,Sony WH-1000XM4 Headphones,2,349.99,699.98,North America,Credit Card,El Salvador
10032,01-02-2024,Home Appliances,Instant Pot Duo,3,89.99,269.97,Europe,PayPal,Hungary
10033,02-02-2024,Clothing,Under Armour HeatGear T-Shirt,5,29.99,149.95,Asia,Debit Card,Iraq
10034,03-02-2024,Books,1984 by George Orwell,4,19.99,79.96,North America,Credit Card,Mexico
10035,04-02-2024,Beauty Products,L'Oreal Revitalift Serum,2,39.99,79.98,Europe,PayPal,Greece
10036,05-02-2024,Sports,Peloton Bike,1,1895.0,1895.0,Asia,Credit Card,China
10037,06-02-2024,Electronics,Apple Watch Series 8,3,399.99,1199.97,North America,Credit Card,Aruba
10038,07-02-2024,Home Appliances,Roomba i7+,2,799.99,1599.98,Europe,PayPal,Ireland
10039,08-02-2024,Clothing,Columbia Fleece Jacket,4,59.99,239.96,Asia,Debit Card,Indonesia
10040,09-02-2024,Books,Harry Potter and the Sorcerer's Stone,3,24.99,74.97,North America,Credit Card,Cayman Islands
10041,10-02-2024,Beauty Products,Estee Lauder Advanced Night Repair,1,105.0,105.0,Europe,PayPal,Belgium
10042,11-02-2024,Sports,Fitbit Charge 5,2,129.99,259.98,Asia,Credit Card,Bahrain
10043,12-02-2024,Electronics,GoPro HERO10 Black,3,399.99,1199.97,North America,Credit Card,Canada
10044,13-02-2024,Home Appliances,Nespresso VertuoPlus,1,199.99,199.99,Europe,PayPal,Iceland
10045,14-02-2024,Clothing,Patagonia Better Sweater,2,139.99,279.98,Asia,Debit Card,Cambodia
10046,15-02-2024,Books,Becoming by Michelle Obama,4,32.5,130.0,North America,Credit Card,Cayman Islands
10047,16-02-2024,Beauty Products,Clinique Moisture Surge,1,52.0,52.0,Europe,PayPal,France
10048,17-02-2024,Sports,Yeti Rambler Tumbler,6,39.99,239.94,Asia,Credit Card,Myanmar
10049,18-02-2024,Electronics,Kindle Paperwhite,2,129.99,259.98,North America,Credit Card,Canada
10050,19-02-2024,Home Appliances,Breville Smart Oven,1,299.99,299.99,Europe,PayPal,France
10051,20-02-2024,Clothing,Ray-Ban Aviator Sunglasses,3,154.99,464.97,Asia,Debit Card,Iraq
10052,21-02-2024,Books,The Silent Patient by Alex Michaelides,2,26.99,53.98,North America,Credit Card,Guatemala
10053,22-02-2024,Beauty Products,Shiseido Ultimate Sun Protector,1,49.0,49.0,Europe,PayPal,Liechtenstein
10054,23-02-2024,Sports,Titleist Pro V1 Golf Balls,5,49.99,249.95,Asia,Credit Card,Bhutan
10055,24-02-2024,Electronics,Anker PowerCore Portable Charger,4,59.99,239.96,North America,Credit Card,Honduras
10056,25-02-2024,Home Appliances,KitchenAid Artisan Stand Mixer,1,499.99,499.99,Europe,PayPal,Hungary
10057,26-02-2024,Clothing,Calvin Klein Boxer Briefs,5,29.99,149.95,Asia,Debit Card,Oman
10058,27-02-2024,Books,Educated by Tara Westover,3,28.0,84.0,North America,Credit Card,Honduras
10059,28-02-2024,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23.0,46.0,Europe,PayPal,Armenia
10060,29-02-2024,Sports,Hyperice Hypervolt Massager,1,349.0,349.0,Asia,Credit Card,Laos
10061,01-03-2024,Electronics,Nintendo Switch,3,299.99,899.97,North America,Credit Card,Montserrat
10062,02-03-2024,Home Appliances,Philips Airfryer XXL,2,199.99,399.98,Europe,PayPal,Luxembourg
10063,03-03-2024,Clothing,Hanes ComfortSoft T-Shirt,10,9.99,99.9,Asia,Debit Card,Bahrain
10064,04-03-2024,Books,Where the Crawdads Sing by Delia Owens,4,18.99,75.96,North America,Credit Card,Trinidad and Tobago
10065,05-03-2024,Beauty Products,Lancome La Vie Est Belle,1,102.0,102.0,Europe,PayPal,Andorra
10066,06-03-2024,Sports,Garmin Edge 530,2,299.99,599.98,Asia,Credit Card,Cyprus
10067,07-03-2024,Electronics,Samsung QLED 4K TV,1,1199.99,1199.99,North America,Credit Card,Antigua and Barbuda
10068,08-03-2024,Home Appliances,Eufy RoboVac 11S,3,219.99,659.97,Europe,PayPal,Denmark
10069,09-03-2024,Clothing,Puma Suede Classic Sneakers,4,59.99,239.96,Asia,Debit Card,Indonesia
10070,10-03-2024,Books,The Great Gatsby by F. Scott Fitzgerald,2,10.99,21.98,North America,Credit Card,Guatemala
10071,11-03-2024,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78.0,78.0,Europe,PayPal,Bulgaria
10072,12-03-2024,Sports,Nike Metcon 6,3,129.99,389.97,Asia,Credit Card,Cyprus
10073,13-03-2024,Electronics,HP Spectre x360 Laptop,1,1599.99,1599.99,North America,Credit Card,Montserrat
10074,14-03-2024,Home Appliances,De'Longhi Magnifica Espresso Machine,1,899.99,899.99,Europe,PayPal,Austria
10075,15-03-2024,Clothing,Tommy Hilfiger Polo Shirt,5,49.99,249.95,Asia,Debit Card,Lebanon
10076,16-03-2024,Books,To Kill a Mockingbird by Harper Lee,4,14.99,59.96,North America,Credit Card,Canada
10077,17-03-2024,Beauty Products,Glossier Boy Brow,2,16.0,32.0,Europe,PayPal,Belgium
10078,18-03-2024,Sports,Rogue Fitness Kettlebell,3,69.99,209.97,Asia,Credit Card,Oman
10079,19-03-2024,Electronics,Apple AirPods Pro,2,249.99,499.98,North America,Credit Card,Bermuda
10080,20-03-2024,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,Europe,PayPal,Germany
10081,21-03-2024,Clothing,Levi's Trucker Jacket,2,89.99,179.98,Asia,Debit Card,Cambodia
10082,22-03-2024,Books,The Hobbit by J.R.R. Tolkien,3,12.99,38.97,North America,Credit Card,Aruba
10083,23-03-2024,Beauty Products,Charlotte Tilbury Magic Cream,1,100.0,100.0,Europe,PayPal,France
